date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:47	2802/2802	---M--	200	added ('OK')	image/png	etag:%22cc200c3-af2-52ea04211d6db%22	http://www.anjstech.com/images/orange-box-middle.png	D:/anjs/www.anjstech.com/images/orange-box-middle.png	(from http://www.anjstech.com/css/style.css)
10:17:47	1096/1096	---M--	200	added ('OK')	image/gif	etag:%22cc20094-448-52e9e8336e1e7%22	http://www.anjstech.com/images/arrow.gif	D:/anjs/www.anjstech.com/images/arrow.gif	(from http://www.anjstech.com/css/style.css)
10:17:53	34904/34904	---M--	200	added ('OK')	image/png	etag:%22cc200a5-8858-52e9e87ce795e%22	http://www.anjstech.com/images/careers-nav-bg.png	D:/anjs/www.anjstech.com/images/careers-nav-bg.png	(from http://www.anjstech.com/css/style.css)
10:17:54	35481/35481	---M--	200	added ('OK')	image/png	etag:%22cc200d2-8a99-52e9e928e1ca8%22	http://www.anjstech.com/images/software-nav-bg.png	D:/anjs/www.anjstech.com/images/software-nav-bg.png	(from http://www.anjstech.com/css/style.css)
10:17:54	41036/41036	---M--	200	added ('OK')	image/png	etag:%22cc200a8-a04c-52e9e88c09264%22	http://www.anjstech.com/images/company-nav-bg.png	D:/anjs/www.anjstech.com/images/company-nav-bg.png	(from http://www.anjstech.com/css/style.css)
10:17:56	185/185	---M--	200	added ('OK')	image/png	etag:%22cc20092-b9-52e9e832359dd%22	http://www.anjstech.com/images/arrow-link-orange.png	D:/anjs/www.anjstech.com/images/arrow-link-orange.png	(from http://www.anjstech.com/css/style.css)
10:17:58	8249/8249	---M--	200	added ('OK')	image/jpeg	etag:%22cc2009e-2039-52ea1f20aecd5%22	http://www.anjstech.com/images/bgimg.jpg	D:/anjs/www.anjstech.com/images/bgimg.jpg	(from http://www.anjstech.com/css/style.css)
10:17:59	7892/7892	---M--	200	added ('OK')	image/jpeg	etag:%22cc2016a-1ed4-52eb0260f6ecc%22	http://www.anjstech.com/images/inner_page_bg.jpg	D:/anjs/www.anjstech.com/images/inner_page_bg.jpg	(from http://www.anjstech.com/css/style.css)
10:18:00	286/286	---M--	200	added ('OK')	image/jpeg	etag:%22cc200b4-11e-52e9e8b1a1001%22	http://www.anjstech.com/images/hlinefooter.jpg	D:/anjs/www.anjstech.com/images/hlinefooter.jpg	(from http://www.anjstech.com/css/style.css)
10:18:03	315922/315922	---M--	200	added ('OK')	image/jpeg	etag:%22cc200e0-4d212-52e9e9727fe09%22	http://www.anjstech.com/images/banner/Banner07.jpg	D:/anjs/www.anjstech.com/images/banner/Banner07.jpg	(from http://www.anjstech.com/)
10:18:03	69889/69889	---M--	200	added ('OK')	image/png	etag:%22cc200cf-11101-52e9e911f9fa6%22	http://www.anjstech.com/images/services-nav-bg.png	D:/anjs/www.anjstech.com/images/services-nav-bg.png	(from http://www.anjstech.com/css/style.css)
10:18:05	31595/31595	---M--	200	added ('OK')	image/png	etag:%22cc200af-7b6b-52e9e8ad1d3ae%22	http://www.anjstech.com/images/flickr.png	D:/anjs/www.anjstech.com/images/flickr.png	(from http://www.anjstech.com/css/style.css)
10:18:05	6942/6942	---M--	200	added ('OK')	image/png	etag:%22cc200d7-1b1e-52ea118e4fade%22	http://www.anjstech.com/images/twitter.png	D:/anjs/www.anjstech.com/images/twitter.png	(from http://www.anjstech.com/css/style.css)
10:18:06	1013/1013	---M--	200	added ('OK')	image/png	etag:%22cc200bb-3f5-52ea116a264f8%22	http://www.anjstech.com/images/linkedin.png	D:/anjs/www.anjstech.com/images/linkedin.png	(from http://www.anjstech.com/css/style.css)
10:18:07	283/283	---M--	200	added ('OK')	image/png	etag:%22cc20089-11b-52e9e7c5d9a9a%22	http://www.anjstech.com/nav/images/nav_arrow_blk.png	D:/anjs/www.anjstech.com/nav/images/nav_arrow_blk.png	(from http://www.anjstech.com/nav/styles.css)
10:18:07	7577/7577	---M--	200	added ('OK')	image/jpeg	etag:%22cc200b5-1d99-52ea28c0f651f%22	http://www.anjstech.com/images/hlinesm.jpg	D:/anjs/www.anjstech.com/images/hlinesm.jpg	(from http://www.anjstech.com/css/style.css)
